,CTYNAME,POPESTIMATE2017
1,Autauga County,55504
2,Baldwin County,212628
3,Barbour County,25270
4,Bibb County,22668
5,Blount County,58013
6,Bullock County,10309
7,Butler County,19825
8,Calhoun County,114728
9,Chambers County,33713
10,Cherokee County,25857
11,Chilton County,44067
12,Choctaw County,12945
13,Clarke County,24083
14,Clay County,13367
15,Cleburne County,14900
16,Coffee County,51874
17,Colbert County,54500
18,Conecuh County,12469
19,Coosa County,10754
20,Covington County,37092
21,Crenshaw County,13871
22,Cullman County,82755
23,Dale County,49226
24,Dallas County,39215
25,DeKalb County,71617
26,Elmore County,81677
27,Escambia County,37447
28,Etowah County,102755
29,Fayette County,16468
30,Franklin County,31495
31,Geneva County,26421
32,Greene County,8330
33,Hale County,14812
34,Henry County,17147
35,Houston County,104346
36,Jackson County,51909
37,Jefferson County,659197
38,Lamar County,13946
39,Lauderdale County,92538
40,Lawrence County,33049
41,Lee County,161604
42,Limestone County,94402
43,Lowndes County,10076
44,Macon County,18755
45,Madison County,361046
46,Marengo County,19375
47,Marion County,29833
48,Marshall County,95548
49,Mobile County,413955
50,Monroe County,21327
51,Montgomery County,226646
52,Morgan County,118818
53,Perry County,9339
54,Pickens County,20176
55,Pike County,33267
56,Randolph County,22670
57,Russell County,57045
58,St. Clair County,88199
59,Shelby County,213605
60,Sumter County,12687
61,Talladega County,80065
62,Tallapoosa County,40681
63,Tuscaloosa County,207811
64,Walker County,64058
65,Washington County,16531
66,Wilcox County,10719
67,Winston County,23722
69,Aleutians East Borough,3370
70,Aleutians West Census Area,5763
71,Anchorage Municipality,294356
72,Bethel Census Area,18076
73,Bristol Bay Borough,867
74,Denali Borough,2074
75,Dillingham Census Area,4932
76,Fairbanks North Star Borough,99703
77,Haines Borough,2526
78,Hoonah-Angoon Census Area,2145
79,Juneau City and Borough,32094
80,Kenai Peninsula Borough,58617
81,Ketchikan Gateway Borough,13856
82,Kodiak Island Borough,13448
83,Kusilvak Census Area,8202
84,Lake and Peninsula Borough,1620
85,Matanuska-Susitna Borough,106532
86,Nome Census Area,9921
87,North Slope Borough,9782
88,Northwest Arctic Borough,7684
89,Petersburg Borough,3281
90,Prince of Wales-Hyder Census Area,6443
91,Sitka City and Borough,8689
92,Skagway Municipality,1157
93,Southeast Fairbanks Census Area,6888
94,Valdez-Cordova Census Area,9278
95,Wrangell City and Borough,2521
96,Yakutat City and Borough,605
97,Yukon-Koyukuk Census Area,5365
99,Apache County,71606
100,Cochise County,124756
101,Coconino County,140776
102,Gila County,53501
103,Graham County,37466
104,Greenlee County,9455
105,La Paz County,20601
106,Maricopa County,4307033
107,Mohave County,207200
108,Navajo County,108956
109,Pima County,1022769
110,Pinal County,430237
111,Santa Cruz County,46212
112,Yavapai County,228168
113,Yuma County,207534
115,Arkansas County,17967
116,Ashley County,20283
117,Baxter County,41355
118,Benton County,266300
119,Boone County,37381
120,Bradley County,10864
121,Calhoun County,5247
122,Carroll County,27944
123,Chicot County,10636
124,Clark County,22293
125,Clay County,14920
126,Cleburne County,25048
127,Cleveland County,8202
128,Columbia County,23627
129,Conway County,20916
130,Craighead County,107115
131,Crawford County,62996
132,Crittenden County,48750
133,Cross County,16863
134,Dallas County,7393
135,Desha County,11764
136,Drew County,18547
137,Faulkner County,123654
138,Franklin County,17890
139,Fulton County,12055
140,Garland County,98658
141,Grant County,18165
142,Greene County,45053
143,Hempstead County,21861
144,Hot Spring County,33574
145,Howard County,13478
146,Independence County,37504
147,Izard County,13686
148,Jackson County,17135
149,Jefferson County,69115
150,Johnson County,26552
151,Lafayette County,6862
152,Lawrence County,16525
153,Lee County,9176
154,Lincoln County,13646
155,Little River County,12359
156,Logan County,21722
157,Lonoke County,72898
158,Madison County,16339
159,Marion County,16428
160,Miller County,43984
161,Mississippi County,42159
162,Monroe County,7085
163,Montgomery County,8919
164,Nevada County,8327
165,Newton County,7828
166,Ouachita County,23868
167,Perry County,10348
168,Phillips County,18572
169,Pike County,10726
170,Poinsett County,24154
171,Polk County,20118
172,Pope County,63835
173,Prairie County,8248
174,Pulaski County,393956
175,Randolph County,17557
176,St. Francis County,25930
177,Saline County,119323
178,Scott County,10445
179,Searcy County,7938
180,Sebastian County,128107
181,Sevier County,17115
182,Sharp County,17393
183,Stone County,12537
184,Union County,39449
185,Van Buren County,16506
186,Washington County,231996
187,White County,79016
188,Woodruff County,6571
189,Yell County,21523
191,Alameda County,1663190
192,Alpine County,1120
193,Amador County,38626
194,Butte County,229294
195,Calaveras County,45670
196,Colusa County,21805
197,Contra Costa County,1147439
198,Del Norte County,27470
199,El Dorado County,188987
200,Fresno County,989255
201,Glenn County,28094
202,Humboldt County,136754
203,Imperial County,182830
204,Inyo County,18026
205,Kern County,893119
206,Kings County,150101
207,Lake County,64246
208,Lassen County,31163
209,Los Angeles County,10163507
210,Madera County,156890
211,Marin County,260955
212,Mariposa County,17569
213,Mendocino County,88018
214,Merced County,272673
215,Modoc County,8859
216,Mono County,14168
217,Monterey County,437907
218,Napa County,140973
219,Nevada County,99814
220,Orange County,3190400
221,Placer County,386166
222,Plumas County,18742
223,Riverside County,2423266
224,Sacramento County,1530615
225,San Benito County,60310
226,San Bernardino County,2157404
227,San Diego County,3337685
228,San Francisco County,884363
229,San Joaquin County,745424
230,San Luis Obispo County,283405
231,San Mateo County,771410
232,Santa Barbara County,448150
233,Santa Clara County,1938153
234,Santa Cruz County,275897
235,Shasta County,179921
236,Sierra County,2999
237,Siskiyou County,43853
238,Solano County,445458
239,Sonoma County,504217
240,Stanislaus County,547899
241,Sutter County,96648
242,Tehama County,63926
243,Trinity County,12709
244,Tulare County,464493
245,Tuolumne County,54248
246,Ventura County,854223
247,Yolo County,219116
248,Yuba County,77031
250,Adams County,503167
251,Alamosa County,16551
252,Arapahoe County,643052
253,Archuleta County,13315
254,Baca County,3562
255,Bent County,5938
256,Boulder County,322514
257,Broomfield County,68341
258,Chaffee County,19638
259,Cheyenne County,1845
260,Clear Creek County,9574
261,Conejos County,8184
262,Costilla County,3776
263,Crowley County,5810
264,Custer County,4874
265,Delta County,30568
266,Denver County,704621
267,Dolores County,2067
268,Douglas County,335299
269,Eagle County,54772
270,Elbert County,25642
271,El Paso County,699232
272,Fremont County,47559
273,Garfield County,59118
274,Gilpin County,6013
275,Grand County,15321
276,Gunnison County,16939
277,Hinsdale County,794
278,Huerfano County,6662
279,Jackson County,1385
280,Jefferson County,574613
281,Kiowa County,1376
282,Kit Carson County,7158
283,Lake County,7778
284,La Plata County,55589
285,Larimer County,343976
286,Las Animas County,14238
287,Lincoln County,5546
288,Logan County,21896
289,Mesa County,151616
290,Mineral County,766
291,Moffat County,13131
292,Montezuma County,26140
293,Montrose County,41784
294,Morgan County,28192
295,Otero County,18326
296,Ouray County,4794
297,Park County,17905
298,Phillips County,4292
299,Pitkin County,17890
300,Prowers County,12070
301,Pueblo County,166475
302,Rio Blanco County,6420
303,Rio Grande County,11301
304,Routt County,25220
305,Saguache County,6626
306,San Juan County,715
307,San Miguel County,7967
308,Sedgwick County,2344
309,Summit County,30585
310,Teller County,24646
311,Washington County,4938
312,Weld County,304633
313,Yuma County,10075
315,Fairfield County,949921
316,Hartford County,895388
317,Litchfield County,182177
318,Middlesex County,163410
