,State,County,Population_Estimate_2015,LACCESS_POP15,LACCESS_LOWI15,LACCESS_HHNV15,LACCESS_SNAP15,LACCESS_CHILD15,LACCESS_SENIORS15,LACCESS_WHITE15,LACCESS_BLACK15,LACCESS_HISP15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_MULTIR15,FOODINSEC_15_17,VLFOODSEC_15_17,MEDHHINC15,POVRATE15,GROC15,SUPERC15,CONVS15,SPECS15,WICS15,FFR15,SNAPS15
0,AL,Autauga,54838,17496.69304,6543.676824,677.6727692,931.9351864,4616.97148,2180.809285,12640.61541,4216.473194,471.1361644,86.76797517,61.16986917,482.8486329,16.3,7.1,56580,12.7,2.899632095,1,31,1,5,44.50183952,45.03050032
1,AL,Baldwin,202995,30561.26443,9886.831137,1394.162766,950.5352897,7007.972675,5580.66279,25483.18681,3540.965826,1377.874834,212.9463784,181.6496483,1127.696098,16.3,7.1,52387,12.9,29.1003679,7.050183952,118.5520235,27.35128767,28.1003679,157.7564383,191.9802302
2,AL,Barbour,26294,6069.523628,2948.790251,425.1449274,422.5690403,1031.927776,824.1752624,2828.876711,2713.12493,509.3775251,17.09641004,39.96052669,462.382655,16.3,7.1,31433,32,3.899632095,1.050183952,18.84944814,1.949816048,5.949816048,23.20073581,36.05854794
3,AL,Bibb,22562,969.378841,596.1628288,224.3881246,53.81877202,232.6426702,137.6882309,540.5122387,419.0999425,8.596762482,1.994317987,2.513097181,5.259244042,16.3,7.1,40767,22.2,4.949816048,1,14.79926419,0,4.949816048,7.050183952,18.26285258
4,AL,Blount,57522,3724.428242,1650.959482,719.931444,175.3703384,910.686113,505.9142824,3387.241266,95.84268727,497.4898913,8.428994396,28.93824223,202.9141865,16.3,7.1,50487,14.7,4.899632095,1,26.84944814,-0.050183952,8,23.15055186,40.27539856
5,AL,Bullock,10400,4141.900365,2154.7893,415.8613008,225.322525,616.7153899,566.5393544,1462.196457,2634.506685,24.07888941,0.968748205,7.70528758,36.52317132,16.3,7.1,28251,39.6,3.050183952,0,6.20073581,-0.050183952,3.050183952,2.949816048,9.957566865
6,AL,Butler,20176,1304.328756,612.9347608,320.168301,91.43779529,264.1401156,254.7681402,729.7324117,550.9011026,11.08490189,4.955498356,7.298759186,11.44098716,16.3,7.1,33868,25.8,3,1,22,0,4,18.05018395,24.79957078
7,AL,Calhoun,115536,27785.98677,10883.20997,1235.289629,1931.256358,6167.764487,4455.312468,21058.35896,5465.72518,970.8931906,235.0712025,118.2965151,886.5734644,16.3,7.1,42091,20,27.15055186,4.050183952,83.84944814,0.949816048,20.05018395,95.20073581,135.9038141
8,AL,Chambers,34007,7131.505717,3533.916216,730.2010667,502.6320283,1595.35385,1266.433475,4281.110416,2616.963013,126.7866311,108.4934056,20.68814574,104.1896201,16.3,7.1,35560,22.4,6.949816048,1,21.79926419,1,6,29.30110371,35.7377606
9,AL,Cherokee,25739,103.5224989,57.46490172,299.8869228,4.888563305,18.74760093,13.77900349,100.8908362,1.410913298,0.348952026,0,0.217044921,1.003704677,16.3,7.1,39144,19.4,5.050183952,1,18.05018395,-0.050183952,3.899632095,14.8996321,27.23684084
10,AL,Chilton,43717,1469.89911,637.4195275,641.1107684,115.4552044,337.0499231,246.4547517,1125.956187,245.0090637,80.89555631,2.446085968,9.4605826,59.31806504,16.3,7.1,42767,20.2,4.899632095,1,33,2.899632095,5.949816048,22.05018395,42.2867182
11,AL,Choctaw,13233,2702.895199,1010.379176,423.0366236,360.0712887,557.5538692,452.8804652,743.8167363,1945.209927,11.32193666,0,5.000000157,8.86854066,16.3,7.1,35089,24.4,3,0,14.94981605,-0.050183952,3,6,14.32048076
12,AL,Clarke,24703,5712.926332,2881.596829,943.7213259,428.8808925,1523.27705,842.5925592,2229.402621,3395.893712,80.77300899,13.88110232,17.7697486,54.99088723,16.3,7.1,37317,22.2,6.050183952,2,12.84944814,0.949816048,7.899632095,25.05018395,35.96593086
13,AL,Clay,13413,642.7409199,324.1809049,192.8890387,41.04094818,143.2278427,109.3991982,558.463331,64.565817,11.1301352,0.960742453,2.767728446,15.9832988,16.3,7.1,38908,18.4,3,0,6.050183952,0,3,4,11.21685062
14,AL,Cleburne,14917,789.5351429,310.177285,209.2639517,39.54564864,188.5216706,112.0748496,771.7754258,1.903723478,13.6692528,0.119914184,1.679663426,14.05641705,16.3,7.1,42136,18.9,1.949816048,0,12.15055186,0,3.949816048,4.849448143,11.94083888
15,AL,Coffee,50952,10486.08598,2987.491344,543.2931099,396.5443378,2569.549716,1103.329245,8462.375776,1130.790729,606.8316581,233.563263,108.205788,521.2422909,16.3,7.1,46858,16.2,7.100367905,1,29.20073581,0,7.050183952,40.20073581,42.92595042
16,AL,Colbert,54370,11095.6663,3565.961744,682.2699334,838.6799864,2607.221979,1868.019982,9455.683577,1254.05606,199.1002813,81.87426588,38.72050789,264.3318978,16.3,7.1,41171,18.1,7.899632095,1,44.79926419,4,9,53.25091976,63.36383366
17,AL,Conecuh,12680,3558.35944,1750.034804,325.6632103,428.0440601,694.9691778,749.7020029,2548.220255,943.5728711,21.90984193,3.985779594,14.39512161,48.18541346,16.3,7.1,29981,28.3,0.79926419,0,14.84944814,-0.050183952,2,7.20073581,15.48622766
18,AL,Coosa,10938,2828.930334,1168.301536,280.1719889,147.3142863,500.4463765,564.9494347,2311.026408,480.2009476,28.54339624,1.610866123,3.342021793,32.66927264,16.3,7.1,36078,20.3,1.050183952,0,7.849448143,0,1,1.050183952,7.100367905
19,AL,Covington,37551,3769.122248,1650.453898,512.5427244,221.6449954,783.9709878,728.613374,3387.282897,316.6222947,26.08843548,4.166840099,18.7227853,42.32742636,16.3,7.1,36355,22.3,5.849448143,1,34.05018395,2.949816048,6.849448143,27.20073581,54.35098108
20,AL,Crenshaw,13857,5278.966487,2369.451736,250.8755645,442.4002256,1278.332947,758.593092,3871.50898,1288.965249,35.68250291,9.556122019,15.7820747,93.15406389,16.3,7.1,36759,19.9,3.899632095,0,6.79926419,1.050183952,2.899632095,8.20073581,19.81242335
21,AL,Cullman,81764,5900.270202,2500.310001,1050.953043,354.2822244,1433.057497,1015.570676,5594.810444,33.56790932,366.7296901,55.31148202,24.17350347,191.1006126,16.3,7.1,39290,19.4,15.1003679,2.050183952,52.79926419,3.949816048,12.05018395,63.55202348,73.9118715
22,AL,Dale,49349,14036.97012,5306.194211,615.0935476,685.8509338,4144.065574,1364.677324,10039.80009,2721.590867,1217.465176,157.249138,108.6346007,990.8618411,16.3,7.1,45294,18.5,5.899632095,1,28.64871233,0.949816048,5.899632095,35.15055186,52.07354663
23,AL,Dallas,40948,7640.056868,5063.957922,988.8099812,1125.386849,1941.888555,1246.919871,1865.149459,5682.523935,51.47217931,20.94736255,8.772131744,62.49427703,16.3,7.1,29682,34.6,8,1,36,0,7.849448143,25.25091976,43.06864123
24,AL,DeKalb,71112,2679.852662,1540.906864,739.9427629,185.3580792,890.0090642,258.2532407,1727.096467,117.5070183,1077.655859,19.74817098,37.25713771,762.887411,16.3,7.1,37305,20.6,16.1003679,1,50.20073581,3.050183952,11,40.05018395,81.82048076
25,AL,Elmore,80924,15064.36659,5506.02451,981.2916718,580.8148285,3210.949788,1533.079912,9447.677189,5073.779727,421.3208563,56.90102571,58.96180271,422.0979895,16.3,7.1,53548,14,8.050183952,2,54.79926419,-0.050183952,8.899632095,39.35128767,66.88769928
26,AL,Escambia,37665,5058.775403,2766.608819,567.5967619,557.1417171,1201.964583,843.729216,3014.965811,1790.373305,96.48625212,3.611381238,111.9702098,137.3905455,16.3,7.1,36840,24.4,3.899632095,2.100367905,30.05018395,0,6,28.25091976,42.07496934
27,AL,Etowah,103003,23289.82682,9817.063943,1360.397062,1518.3736,4933.015842,4543.736213,18781.92115,3694.82784,517.4562776,133.5546985,61.23475166,612.9567331,16.3,7.1,42145,19,13.84944814,2,69.94981605,6.250919762,13.8996321,85.45165557,108.8763796
28,AL,Fayette,16693,407.3867531,233.5222242,444.9219842,56.52492789,90.732398,71.38033756,287.7605748,111.581957,5.931032412,0,0,8.044222686,16.3,7.1,37085,20.4,3.849448143,1,7.849448143,0,3.949816048,12.8996321,14.06691194
