FIPS,County,NEAREST_1,NEAREST_2,NEAREST_3,NEAREST_4,NEAREST_5,NEAREST_6,NEAREST_7,NEAREST_8,NEAREST_9,NEAREST_10,NEAREST_11,NEAREST_12,NEAREST_13,NEAREST_14,NEAREST_15,NEAREST_16,NEAREST_17,NEAREST_18,NEAREST_19,NEAREST_20
1001,Autauga,1001,46049,28015,29053,27163,17167,49041,18093,20131,12011,27051,2240,28097,54097,20051,27123,38001,22061,35035,13237
1003,Baldwin,1003,39171,31037,48241,5037,47107,51173,19109,9011,38053,48123,21221,40027,6093,42023,21047,4001,36065,48435,40125
1005,Barbour,1005,16087,51015,29147,51790,42011,40089,55011,12057,45047,39083,21215,27159,31085,26013,48153,38059,21211,26165,50007
1007,Bibb,1007,41059,41027,27059,24027,18119,54033,29177,41051,17117,6115,13303,17035,27145,41067,17135,48063,20087,39163,45005
1009,Blount,1009,51099,13315,42125,21205,18023,41031,45085,23017,34025,49049,48487,31061,5039,27017,8013,28129,45061,27173,48479
1011,Bullock,1011,17039,20159,56011,29087,28017,22021,18019,39089,51091,42071,13181,2290,29151,26055,55091,48143,4012,13317,18043
1013,Butler,1013,18123,26101,13157,8095,42099,22069,54025,56005,31131,13011,42067,20145,48279,20047,8027,12086,31097,40005,48083
1015,Calhoun,1015,35029,20059,53069,29103,24009,4007,13309,13209,48227,21019,48077,20203,18095,5025,18057,26001,55115,31181,42051
1017,Chambers,1017,13163,39009,20193,13033,29007,26029,29047,18005,30011,29165,55107,4009,28159,48067,27121,20181,55005,55041,30031
1019,Cherokee,1019,45067,48073,54099,42129,48249,30059,8091,13161,48173,55135,17081,18053,28023,23011,27127,55031,20003,29045,18095
1021,Chilton,1021,48231,30075,46045,32033,29195,8093,22027,20149,28051,18105,45029,39027,29089,28007,20085,48445,55085,54001,55099
1023,Choctaw,1023,13233,13267,38073,24045,31169,8087,18135,48355,54043,49001,45051,46117,49013,29013,2100,13109,40067,18075,5041
1025,Clarke,1025,40019,39107,38017,18129,42013,48419,31151,13179,13015,5107,27103,54005,13057,13183,23013,38007,27013,56019,18163
1027,Clay,1027,17051,13167,55067,24003,18145,39079,48033,28099,29137,55013,48237,48047,18081,48499,24023,20199,54077,4027,20045
1029,Cleburne,1029,20121,18065,8001,30025,16059,32015,39087,5043,55115,28075,55078,20203,42111,41069,48227,29111,48077,27129,26097
1031,Coffee,1031,21093,48437,31135,39033,48333,17203,46073,8055,53037,27109,42097,51023,28145,29169,6035,2070,26085,20151,40127
1033,Colbert,1033,49037,29093,21137,45087,42089,51049,13201,39153,21079,6081,51029,35061,5127,46033,28005,19175,17091,55063,29179
1035,Conecuh,1035,27147,48369,21059,40029,17095,13311,13187,8003,29167,54089,30061,28137,27027,27107,13139,54063,29085,37133,21091
1037,Coosa,1037,39141,4021,13009,27025,27121,27149,18013,18005,30031,12099,24510,6057,13169,20181,30011,8063,55095,29007,26029
1039,Covington,1039,42119,27087,16065,51045,28093,46015,26131,21085,27099,39175,13257,13241,29105,31049,22079,39147,48411,17175,48069
1041,Crenshaw,1041,17179,39101,16043,48049,28071,13195,21163,27005,8081,22043,13119,42043,27049,29029,20185,31127,49017,36031,8027
1043,Cullman,1043,27081,21011,18157,48135,55141,6037,13081,5019,34023,54029,28127,31137,35023,32027,48479,51033,29171,54009,12061
1045,Dale,1045,38065,51530,12101,48109,30063,46111,39139,50001,48045,27169,27057,42107,6083,51678,4023,19145,26061,51163,20095
1047,Dallas,1047,42055,48079,13247,17017,18027,48181,2068,45013,28083,54007,39023,27053,13217,55051,32021,29159,2110,48441,20117
1049,DeKalb,1049,51133,17199,27033,41013,42005,51103,18169,20001,8111,49043,19177,48383,23001,21159,45033,40033,21115,31079,13069
1051,Elmore,1051,39129,28019,26089,27041,48119,20167,18071,30111,8119,53039,22061,8045,54083,6091,13141,17021,29019,13301,55109
1053,Escambia,1053,13291,32007,27047,31155,36041,16051,27031,53033,48057,42035,39137,31033,27107,21149,40123,29077,20025,21177,51071
1055,Etowah,1055,49051,18159,13271,6009,45041,56003,24037,53049,28061,48485,48131,2195,20003,38045,21043,26069,18067,31181,55135
1057,Fayette,1057,6055,42101,39059,38029,29061,46019,15005,28149,21081,30087,48269,13197,2060,5081,12055,51139,50019,51113,13053
1059,Franklin,1059,17075,42095,38015,48309,13037,28037,5113,19159,21113,51065,6111,29221,45071,46079,30077,26035,21167,8089,31063
1061,Geneva,1061,27045,40077,45077,51019,21099,39077,26123,31101,22009,42037,28139,37031,25019,29215,19137,27029,48281,48011,35006
1063,Greene,1063,12071,41049,18047,10001,39017,48315,46091,32510,48261,54057,23019,55075,13231,39105,46129,13165,27141,20027,29163
1065,Hale,1065,54105,48121,29107,32019,17033,45049,48151,54065,13255,54003,13251,34009,39017,18153,28151,53011,48253,12051,30097
1067,Henry,1067,19173,56039,51125,21229,45059,22029,6075,26133,16075,48099,32031,41039,28001,28057,29065,39005,50023,46097,42025
1069,Houston,1069,46061,19003,21217,40079,27055,26107,16027,21155,42079,28003,8071,51680,29065,45083,50027,17063,12119,51011,28117
1071,Jackson,1071,5119,55047,23005,30021,51073,13003,48311,20133,35019,48225,21071,46071,51119,17181,40031,20187,26063,28111,28035
1073,Jefferson,1073,51153,38051,30043,54051,51683,29115,34029,13153,51685,27073,20147,48003,21161,8047,8017,29510,5099,17119,12111
1075,Lamar,1075,12049,55035,21187,17019,50019,45037,20113,53005,21103,26079,29071,5081,29075,39119,13259,16003,41047,22065,51660
1077,Lauderdale,1077,55123,48087,46033,12095,26111,5127,36073,28005,48323,42103,38083,19121,39133,29179,6081,51049,39153,21137,45091
1079,Lawrence,1079,51075,5097,46101,30049,29187,6001,31047,28085,13095,21151,48475,20015,16015,4025,45039,55081,18111,51145,48293
1081,Lee,1081,29021,17139,13245,55037,29139,24015,39127,28087,18077,2180,48215,12115,41071,10003,29027,39115,20153,18079,29049
1083,Limestone,1083,28147,13071,51041,19117,49011,39099,51760,45057,40055,34031,26017,21189,27133,18073,33003,20049,29017,48395,21109
1085,Lowndes,1085,4019,29141,13219,28043,8043,42041,26053,54101,38041,17129,27037,20165,8125,31133,26019,17125,18117,13297,13059
1087,Macon,1087,18143,54071,20053,55033,48387,41053,46115,48107,17115,28025,20043,30081,13189,39045,22083,22073,27153,35015,4012
1089,Madison,1089,19135,13075,42073,48289,29031,49029,36087,56017,21025,34003,6099,51127,28091,48283,18131,32017,51036,8083,45025
1091,Marengo,1091,6065,48353,28011,13097,42009,48097,20101,17185,26033,39037,17009,27085,32011,13121,6103,13103,38087,10005,35013
1093,Marion,1093,48301,13243,21239,51540,50005,4003,28063,49045,31063,39157,41043,51003,12105,26143,20079,45071,5133,30077,48101
1095,Marshall,1095,51057,20207,40141,45031,21175,13017,28031,31099,36081,13155,38093,8113,42003,6023,29197,51159,17145,18017,5053
1097,Mobile,1097,46121,31141,18151,21143,37085,48457,29145,5147,21157,12089,51167,31007,4017,38035,9007,55131,36065,12087,6093
1099,Monroe,1099,8075,55071,13085,6051,22085,39011,6089,37141,27161,31109,39003,48007,54019,8109,40069,28027,48141,20057,54081
1101,Montgomery,1101,20009,36019,55093,6063,17107,8103,41001,39049,27111,31147,13221,48277,22049,53077,41041,48133,18175,42133,15001
1103,Morgan,1103,18181,34013,26011,27117,51085,20073,34039,49035,21197,48103,45055,28077,5051,40065,13321,28065,21165,6077,12009
1105,Perry,1105,20195,24043,17171,54021,22015,16049,13035,13255,54013,4011,6007,48253,22119,39057,13151,27003,22017,53059,2090
1107,Pickens,1107,18115,29049,10003,39115,34033,22035,13145,21015,54031,23021,17029,29139,48489,8073,8037,55037,28055,13245,51171
1109,Pike,1109,12103,39117,28115,51017,13105,29005,27157,31029,42075,22059,15003,48093,18061,48189,49055,20185,40127,46005,40023
1111,Randolph,1111,55129,24023,18139,20109,48459,48047,8005,29173,28069,48237,20091,24035,35005,41009,13107,17049,49007,48033,39079
1113,Russell,1113,42029,46025,6097,39119,51165,48425,30103,16003,48125,21041,45037,21223,29003,21103,29073,51660,29063,53005,48221
1115,St. Clair,1115,6059,30007,48317,17027,8014,48213,13091,20139,24017,18011,53013,45027,21135,8085,27173,48009,21089,5013,20071
1117,Shelby,1117,48505,29041,46089,32001,20197,13289,54049,8077,26041,55069,48165,35017,5027,18109,8059,54103,28079,48447,20177
1119,Sumter,1119,32005,46041,27093,18041,24001,18161,48203,24011,13149,55113,54035,20063,5017,13077,54053,29173,41009,17079,20091
1121,Talladega,1121,17005,48247,20199,54061,24033,39145,55013,26153,11001,48467,8059,27151,41007,20045,8029,24003,55067,8031,6017
1123,Tallapoosa,1123,17173,55041,55005,28159,54093,41057,46031,28103,20181,55095,30067,22111,29165,20193,13163,22067,18005,54001,54023
1125,Tuscaloosa,1125,49019,21037,5091,30093,13263,12043,21117,20061,45011,55119,51187,5073,46021,4013,8073,8117,27095,48113,46051
1127,Walker,1127,46039,29079,51047,8049,26135,39013,18045,21201,5057,28049,50009,16085,55019,31065,21097,13249,13261,12093,21181
1129,Washington,1129,31185,46075,17059,55015,2230,27165,13305,54045,8079,51001,30045,18001,19057,23015,5095,20081,48025,16009,17069
1131,Wilcox,1131,31067,13051,40095,23009,39149,27139,13135,55061,18125,16035,22031,17169,42061,48399,18173,48017,20083,54067,54015
1133,Winston,1133,5109,46011,48495,13177,28029,29129,18171,23003,21017,26129,31073,51109,39019,2185,39067,21049,29099,51137,6095
2013,Aleutians East,2013,37169,37117,40153,47155,19023,12029,48265,25021,26005,48205,47165,48157,36001,17015,47029,40037,19133,30005,5009
2016,Aleutians West,2016,30095,46129,27141,13231,54085,55099,13171,17061,28053,23019,46109,39165,20027,8065,12051,20149,54107,28051,29195
2020,Anchorage,2020,47063,29155,48019,27135,31161,32003,22087,38013,30101,6053,22113,37081,26159,36039,47059,48015,16007,25017,37143
2050,Bethel,2050,47161,38105,19091,37009,19105,35039,37183,16077,48177,47091,47145,35021,48361,40083,5007,38099,5031,36077,31179
2060,Bristol Bay,2060,30087,51139,13053,21081,46019,48251,46029,45003,42045,28149,48269,41047,13197,5081,20039,26137,30023,48061,1057
2068,Denali,2068,13247,17017,42055,55051,1047,48441,48181,30037,48079,20135,27167,13089,32021,39109,54015,18125,28083,18027,45013
2070,Dillingham,2070,40127,6035,48333,46073,29169,13147,17203,48437,21093,1031,39033,31029,28145,27109,19071,27157,22059,39117,53037
2090,Fairbanks North Star,2090,27003,54041,13159,22119,13035,48417,30057,18055,27155,16049,20051,39047,24021,54021,41061,4011,48085,35035,24043
2100,Haines,2100,49013,45051,18035,13267,48401,13233,5079,20107,54011,17191,54043,40067,31129,55087,13279,1023,48431,13143,48249
2105,Hoonah-Angoon,2105,41055,48503,41021,29175,48379,49039,6045,20123,20141,5139,13319,54077,39131,20103,48499,30003,24031,54091,6061
