State,County,SNAPSPTH17,REDEMP_SNAPS17,PCT_SNAP17,PC_SNAPBEN17,PCT_NSLP17,PCT_SBP17,PCT_SFSP17,PCT_WIC17,PCT_CACFP17,PCT_OBESE_ADULTS17,GROCPTH16,SUPERCPTH16,CONVSPTH16,SPECSPTH16,WICSPTH16,FFRPTH16,FSRPTH16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFACPTH16,FIPS,POVRATE15,PERPOV10,METRO13,MEDHHINC15,FDPIR15,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,FOODINSEC_15_17,VLFOODSEC_15_17,PopulationEstimate2017,LogPopulationEstimate2017,LogTransformedFDPIR15,LogTransformedGROCPTH16,LogTransformedSUPERCPTH16,LogTransformedCONVSPTH16,LogTransformedSPECSPTH16,LogTransformedWICSPTH16,LogTransformedFFRPTH16,LogTransformedFSRPTH16,LogTransformedRECFACPTH16
AL,Autauga,0.8047468050350726,223185.678358209,16.50005631061468,16.35467720031738,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.0542711,0.0180904,0.560801766,0.0180904,0.09051084518432617,0.7959767,0.560801766,14.62024402618408,161530.296875,32.91087573564322,3.309759047081447,0.108542277,1001,12.7,0,1,56580.0,0,32.062254747184035,11.991125000212604,3.3513316313738293,16.3,7.1,55504,4.744324282497985,0.0,0.07624589575576278,0.025865669312729028,0.6422873154263125,0.025865669312729028,0.12500411772359063,0.8447686334796715,0.6422873154263125,0.1486637919960842
AL,Baldwin,0.890835951364198,157623.1335679718,16.50005631061468,11.47935962677002,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.139752975,0.0337335,0.568650034,0.130114838,0.1348020285367966,0.751774622,1.137300069,13.8738374710083,102920.0859375,32.91087573564322,3.309759047081447,0.10120043,1003,12.9,0,1,52387.0,0,16.767489331327024,5.4244265969613314,1.9051144660996444,16.3,7.1,212628,5.327620454189135,0.0,0.18872117495143434,0.04786430191587114,0.6495235227779864,0.17646938130871515,0.1824406346439798,0.8088171741179992,1.0957894712487581,0.1390770783940472
AL,Barbour,1.424614166996439,257032.0788888889,16.50005631061468,29.12214660644531,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.155195158,0.0387988,0.737177,0.077597579,0.2323870062828064,0.892372158,0.543183053,24.03228378295898,103414.921875,32.91087573564322,3.309759047081447,0.0,1005,32.0,1,0,31433.0,0,22.105560066973666,10.739666573274102,4.329378079092943,16.3,7.1,25270,4.402605241919915,0.0,0.2081366002947611,0.05491625255690454,0.796744756934145,0.10781851466506476,0.3014553764624903,0.9201958401057311,0.6259092051306111,0.0
AL,Bibb,0.8014234456796658,227725.2451376147,16.50005631061468,17.55779075622559,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.220916361,0.0441833,0.662749083,0.0,0.2214741259813309,0.309282905,0.309282905,22.08181190490723,99703.796875,32.91087573564322,3.309759047081447,0.0441833,1007,22.2,0,1,40767.0,0,4.2303244206186426,2.6016270076683963,2.8214274439833398,16.3,7.1,22668,4.355413203969459,0.0,0.2879643717392931,0.062374990441031765,0.73357047528559,0.0,0.28862330387223867,0.3887768631670859,0.3887768631670859,0.062374990441031765
AL,Blount,0.6923735484575297,142860.825560166,16.50005631061468,12.37797260284424,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.086862861,0.0173726,0.469059449,0.0,0.1390893161296844,0.39956916,0.208470866,13.86049461364746,99651.7578125,32.91087573564322,3.309759047081447,0.069490289,1009,14.7,0,1,50487.0,0,6.497380137361867,2.8801498232112803,3.3364141441489017,16.3,7.1,58013,4.763525324522198,0.0,0.1201699143883084,0.024848145001771186,0.5548927791767548,0.0,0.18788087337212697,0.48498277974665627,0.2731826928105972,0.0969233828534504
AL,Bullock,0.9861932938856016,170993.9213114754,16.50005631061468,31.25101089477539,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.2873288,0.0,0.5746576,0.0,0.2889895141124725,0.2873288,0.095776267,15.76665557368057,128019.328125,32.91087573564322,3.309759047081447,0.0,1011,39.6,1,0,28251.0,0,37.950342361794206,19.74335074065961,11.104440609899546,16.3,7.1,10309,4.01321653962444,0.0,0.36438058312020283,0.0,0.6550381571938284,0.0,0.3662405274703415,0.36438058312020283,0.13195326231357277,0.0
AL,Butler,1.256830601092896,302939.2254180602,16.50005631061468,27.97814178466797,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.15026296,0.0500877,1.101928375,0.0,0.199710413813591,0.901577761,0.450788881,32.75591659545898,164017.0625,32.91087573564322,3.309759047081447,0.0500877,1013,25.8,1,0,33868.0,0,6.226804584468373,2.926121930559144,3.770678377587316,16.3,7.1,19825,4.297213195989642,0.0,0.20196371136173885,0.07050982224519035,1.0717135090751322,0.0,0.26268621002261155,0.9271969361366613,0.5368375934952508,0.07050982224519035
AL,Calhoun,1.18541245380378,235151.7624264706,16.50005631061468,22.04634666442871,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.234823448,0.0347887,0.730561837,0.0086972,0.1738858222961426,0.826230649,0.652287354,20.88901329040527,120130.625,32.91087573564322,3.309759047081447,0.0608802,1015,20.0,0,1,42091.0,0,23.433851807648516,9.178566582982912,2.6098954796953793,16.3,7.1,114728,5.059669422796517,0.0,0.30430478358894597,0.049336204841733476,0.7912404932741491,0.012493157972164685,0.23129209190812255,0.8688689861076812,0.7244646117813717,0.08526174897253797
AL,Chambers,1.057949950068717,270507.9227102804,16.50005631061468,23.49489402770996,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.207610404,0.0296586,0.652489842,0.0296586,0.1776672303676605,0.860100246,0.533855325,13.21109580993652,74358.65625,32.91087573564322,3.309759047081447,0.0,1017,22.4,0,0,35560.0,0,20.843214136062457,10.328558281147888,5.240802890493261,16.3,7.1,33713,4.527797400562339,0.0,0.27215509135681215,0.04216606776567991,0.7246414033872679,0.04216606776567991,0.23593193906650944,0.8953803742956143,0.6171624126008357,0.0
AL,Cherokee,1.060318933622101,174410.529118541,16.50005631061468,16.68471527099609,63.12658956791882,33.47535393988296,6.369005538426613,2.543569610894678,1.258762762457211,36.3,0.19405418,0.0388108,0.698595048,0.0,0.1551831215620041,0.58216254,0.465730032,18.51291275024414,119297.21875,32.91087573564322,3.309759047081447,0.0388108,1019,19.4,0,0,39144.0,0,0.39833198231404826,0.2211124003094359,2.822199537318709,16.3,7.1,25857,4.412578135431272,0.0,0.25586830012359063,0.05493291819080519,0.7643419491218102,0.0,0.20812156820277827,0.6618978195365804,0.5516194026795997,0.05493291819080519
