State,County,FIPS,PERPOV10,METRO13,SNAPSPTH17,REDEMP_SNAPS17,PCT_SNAP17,PC_SNAPBEN17,PCT_NSLP17,PCT_SBP17,PCT_SFSP17,PCT_WIC17,PCT_CACFP17,PCT_OBESE_ADULTS17,GROCPTH16,SUPERCPTH16,CONVSPTH16,SPECSPTH16,WICSPTH16,FFRPTH16,FSRPTH16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFACPTH16,POVRATE15,MEDHHINC15,FDPIR15,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,FOODINSEC_15_17,VLFOODSEC_15_17,PopulationEstimate2017,LogPopulationEstimate2017,LogTransformedFDPIR15,LogTransformedGROCPTH16,LogTransformedSUPERCPTH16,LogTransformedCONVSPTH16,LogTransformedSPECSPTH16,LogTransformedWICSPTH16,LogTransformedFFRPTH16,LogTransformedFSRPTH16,LogTransformedRECFACPTH16
GA,Lincoln,13181,0,1,0.972927241962775,152817.3717391304,15.58496196178123,22.62055778503418,65.76305353802717,35.28790912570754,4.802215254306308,2.274578541061745,1.380628702821136,31.6,0.12716175,0.0,0.890132248,0.0,0.1272912472486496,0.381485249,0.635808749,15.76665557368057,89204.421875,28.30764470656231,2.992187059194477,0.0,21.4,39089.0,0,4.4838782797579535,2.798391487213469,6.280142178699756,13.0,4.4,7880,3.8965262174895554,0.0,0.1726945600341255,0.0,0.9184871798743532,0.0,0.1728602987200675,0.4662201576566195,0.7100040850778999,0.0
OH,Licking,39089,0,1,0.6630229232968958,218843.3523478261,12.88142736410493,11.44194984436035,51.47332702033276,23.27068072715826,3.349687076745929,1.901993625483109,0.9939564831447733,33.8,0.128039483,0.01164,0.366658519,0.0232799,0.0813986584544181,0.756596943,0.523797884,13.00520706176758,159771.765625,25.42507229462864,2.46594797563961,0.0581998,12.6,59119.0,0,20.60979171281317,5.932086092975272,2.0417594323689383,13.7,6.1,173448,5.239169296429612,0.0,0.1738175650163281,0.0166959870532359,0.4506528080583454,0.0332008226094814,0.1128984717763463,0.8127831981520897,0.6076715569727431,0.0816120501882285
FL,Manatee,12081,0,1,0.6594116258743525,336692.9815929203,15.18526540334725,16.40769958496094,57.07837331599151,28.44227623394163,7.6248577948387,2.234357824383828,1.439689721888641,28.4,0.143784132,0.0213014,0.375436345,0.0585787,0.0852419510483741,0.484605779,0.78016205,15.46183109283447,181387.5625,32.96049306670639,3.166086146329044,0.095856088,14.8,50728.0,0,21.74650531018344,6.370161772138877,1.1402940603321103,11.9,4.2,385571,5.586104361813779,0.0,0.1938147959277443,0.0304086880738209,0.4598893734761193,0.0821285304499385,0.1180167225441159,0.5700798898230119,0.8320085771973121,0.1320583505238715
PA,Lancaster,42071,0,1,0.6012430704318573,212490.6407454685,14.39178289282207,10.96712207794189,51.64583662828041,19.94643836704142,4.107683826690335,1.765328805031761,1.243696379152237,31.6,0.200320141,0.00741926,0.278222418,0.150240106,0.1096513643860817,0.630637482,0.608379688,21.3493595123291,194702.1875,25.43070789450853,2.15345837019202,0.103869703,10.6,59231.0,0,23.347856532237863,5.232285374207067,3.89813217905642,12.1,4.0,542903,5.734722241508039,0.0,0.2634192426961229,0.0106642180432955,0.3541388953039932,0.2019350468900823,0.1501064748848063,0.7054360824466851,0.6856080217739724,0.1425698913828435
SC,Chester,45023,0,1,1.269310547661063,179327.8853658537,14.32970654225436,26.99864768981934,58.99419290603765,33.36869389294012,4.385442533062169,1.97699784191806,0.7996277741543265,34.1,0.154894672,0.0309789,1.053283767,0.0,0.2169264554977417,0.371747212,0.681536555,20.58807754516602,94908.1015625,26.74346052645121,2.874677721366875,0.0309789,25.7,35006.0,0,16.732912813369797,11.263370562740285,5.946317870307184,11.7,4.2,32301,4.5092159677725645,0.0,0.2077612818470784,0.0440148068312766,1.0379330239166809,0.0,0.2832419819425579,0.4560146436132447,0.7497801420188116,0.0440148068312766
AZ,Yavapai,4025,0,1,0.6406098430396314,181999.0949144812,13.09424618351346,10.05180358886719,53.73013542493742,26.49944035754069,1.035726284006739,2.187915849874648,0.6026670866429029,29.5,0.129254824,0.0267424,0.361022094,0.0579418,0.0979558378458023,0.619531741,0.953811457,11.30995750427246,115459.7578125,28.44362312876058,2.850141824517636,0.106969509,15.1,47220.0,0,32.50531241584662,12.60656642507674,2.329111048107554,17.4,6.5,228168,5.358254735621569,0.0,0.1753710767561791,0.0380742684536715,0.4446904868606535,0.0812602634057245,0.1348200272008835,0.6955767436098197,0.966291253808258,0.1466154842510657
VA,Powhatan,51145,0,1,0.24474668717877,288835.0814285714,9.156390224580344,4.530727386474609,51.23776138495022,24.27111295592885,5.403022224319351,1.44255759372469,1.229158844961405,30.1,0.105641242,0.0352137,0.528206212,0.0352137,0.1054703965783119,0.387351222,0.563419959,15.76665557368057,46528.35546875,19.13991380813982,1.920089627131818,0.105641242,6.4,77761.0,0,9.632205167656563,1.5733740742505065,2.0464262210969872,9.8,3.6,28601,4.45638121798532,0.0,0.1448833364313849,0.0499286151703332,0.611839229863765,0.0499286151703332,0.1446603917018489,0.4723330667482728,0.6447053607981975,0.1448833364313849
CA,Alameda,6001,0,1,0.5056547959042559,207393.6693816885,10.40064266441573,9.500818252563477,48.56785141005939,26.08395225318769,2.29945591228143,2.732252230101521,1.562807428337447,25.1,0.225013247,0.00362925,0.199608525,0.080448284,0.087862491607666,0.782102495,0.943603938,14.11166572570801,160610.796875,35.63348403979739,3.249196221421293,0.094360394,11.5,81462.0,0,7.148677186245052,1.0025394992585768,0.2477243051444258,11.2,4.1,1663190,6.220941865117379,0.0,0.2927973502710077,0.00522642270609,0.2625636798464016,0.1116300187940591,0.1214962080467152,0.8335803137262209,0.958734260662771,0.1300879237010841
VA,Portsmouth,51740,0,1,1.030079375149798,273299.4698032506,9.156390224580344,29.8441047668457,51.23776138495022,24.27111295592885,5.403022224319351,1.44255759372469,1.229158844961405,30.1,0.11579313,0.0105266,0.631598893,0.0526332,0.1051591038703918,0.82107856,0.5894923,15.71078491210938,149400.140625,19.13991380813982,1.920089627131818,0.073686537,18.6,46308.0,0,17.120423599524255,3.9387483597980415,1.0370914162286384,9.8,3.6,94572,4.975762573553357,0.0,0.1580695737728304,0.0151072981481314,0.7062864334100558,0.0740028031924291,0.1442540816902812,0.8647931604683565,0.6685660276248527,0.1025728596885771
VA,Hampton,51650,0,1,0.937483756469566,244744.2214653465,9.156390224580344,18.4699764251709,51.23776138495022,24.27111295592885,5.403022224319351,1.44255759372469,1.229158844961405,30.1,0.133006237,0.0147785,0.635474241,0.081281589,0.1257043182849884,0.842372831,0.657641947,14.58438301086426,116021.3359375,19.13991380813982,1.920089627131818,0.11083853,15.2,50191.0,0,29.98905025831849,10.314014463010563,2.5640765092898548,9.8,3.6,134669,5.129267635230142,0.0,0.1801558029626682,0.0211648586177972,0.709709036905122,0.1127422808445686,0.1708279334906258,0.8815650413462103,0.7291324163195244,0.1516491237493048
IN,Elkhart,18039,0,1,0.7141161704839567,165388.406670461,10.07955619457438,13.58243274688721,64.10643800139022,24.41300607317128,4.810413910511709,2.159568477795554,1.406405574593457,33.6,0.181242836,0.0244923,0.337993397,0.073476825,0.0883860737085342,0.710275979,0.573119238,19.38059043884277,219272.0,26.71301639906291,2.646562191183788,0.093070646,14.0,50117.0,0,20.406363305868474,7.368987701058469,3.001385195993864,11.2,4.7,205032,5.311821648074568,0.0,0.2403055797052539,0.0349091412124479,0.4200709962941267,0.1022910455809677,0.1221904020161302,0.7742291446485428,0.6536280271119282,0.1283866465177617
TX,Wilson,48493,0,1,0.5138190275298826,253576.9338157895,13.85385433517581,10.61779975891113,64.01847480352274,36.49308706667046,2.177713353189581,2.903674194819809,2.101635720220137,33.0,0.0622536,0.0207512,0.415023864,0.0415024,0.0829789415001869,0.435775057,0.45652625,10.90051555633545,131364.84375,31.64171867055432,4.030983603453197,0.0622536,9.4,68805.0,0,4.373064644379281,1.3089763295882777,1.8224254588728492,14.0,5.8,49304,4.692882154722619,0.0,0.0871282329836034,0.0296312636032612,0.500826383929342,0.0586661638760236,0.1150051900481553,0.521829739710499,0.5425317024419152,0.0871282329836034
NJ,Union,34039,0,1,0.5974843882634734,199557.029710611,9.082962306748968,9.271279335021973,47.11887555876872,22.18942619161567,4.21348104853354,1.642715205042526,1.010399700454515,27.3,0.272675751,0.00534658,0.245942834,0.114060445,0.1120462343096733,0.680798281,0.826938226,17.99637985229492,160615.65625,22.3044773125907,2.066978956236793,0.171090667,10.6,70581.0,0,9.321959150030326,1.0421373679030976,0.5250636830626565,9.4,3.4,563892,5.751195933246802,0.0,0.3478648999849752,0.0076929372764056,0.3172378765507732,0.1558275103583942,0.1532167706357619,0.7491465916392774,0.8694278531497708,0.2278527750429042
