FIPS,County,Population,Area (km^2),Latitude,Longitude
01001,Autauga,54571,1565.358,32.536382,-86.64449
01003,Baldwin,182265,5250.712,30.659218,-87.746067
01005,Barbour,27457,2342.684,31.87067,-85.405456
01007,Bibb,22915,1621.77,33.015893,-87.127148
01009,Blount,57322,1685.119,33.977448,-86.567246
01011,Bullock,10914,1619.113,32.101759,-85.717261
01013,Butler,20947,2014.704,31.751667,-86.681969
01015,Calhoun,118572,1585.814,33.771706,-85.822513
01017,Chambers,34215,1562.057,32.917943,-85.391812
01019,Cherokee,25989,1553.935,34.069515,-85.654242
01021,Chilton,43643,1815.07,32.85406,-86.726628
01023,Choctaw,13859,2385.014,31.991008,-88.248887
01025,Clarke,25833,3244.152,31.685521,-87.818624
01027,Clay,13932,1569.537,33.267809,-85.862051
01029,Cleburne,14972,1453.018,33.671981,-85.516109
01031,Coffee,49948,1762.474,31.402183,-85.989201
01033,Colbert,54428,1611.308,34.703112,-87.801457
01035,Conecuh,13228,2208.54,31.428293,-86.992029
01037,Coosa,11539,1725.838,32.931445,-86.243482
01039,Covington,37765,2703.396,31.243987,-86.448721
01041,Crenshaw,13906,1582.264,31.732826,-86.319222
01043,Cullman,80406,1955.495,34.131923,-86.869267
01045,Dale,50251,1457.388,31.430654,-85.609476
01047,Dallas,43820,2573.942,32.33354,-87.114356
01049,DeKalb,71109,2016.786,34.460929,-85.803992
01051,Elmore,79303,1701.73,32.597229,-86.142739
01053,Escambia,38319,2468.62,31.121748,-87.168429
01055,Etowah,104430,1420.942,34.047638,-86.03442
01057,Fayette,17241,1630.024,33.732249,-87.752049
01059,Franklin,31704,1674.486,34.441988,-87.842815
01061,Geneva,26790,1499.476,31.090866,-85.824346
01063,Greene,9045,1709.238,32.844497,-87.964201
01065,Hale,15760,1700.33,32.752796,-87.623061
01067,Henry,17302,1471.913,31.516978,-85.239971
01069,Houston,101547,1506.478,31.158193,-85.296398
01071,Jackson,53227,2918.322,34.763522,-85.9774
01073,Jefferson,658466,2910.667,33.553444,-86.896536
01075,Lamar,14564,1568.145,33.787085,-88.087431
01077,Lauderdale,92709,1867.355,34.904122,-87.650997
01079,Lawrence,34339,1857.535,34.529776,-87.321865
01081,Lee,140247,1595.041,32.604064,-85.353048
01083,Limestone,82782,1572.61,34.810239,-86.9814
01085,Lowndes,11299,1877.923,32.147888,-86.650586
01087,Macon,21452,1588.199,32.387027,-85.692887
01089,Madison,334811,2104.888,34.764238,-86.55108
01091,Marengo,21027,2545.107,32.247591,-87.791091
01093,Marion,30776,1925.84,34.138219,-87.881551
01095,Marshall,93019,1614.026,34.309564,-86.321668
01097,Mobile,412992,4257.974,30.684573,-88.196568
01099,Monroe,23068,2679.128,31.580332,-87.383266
01101,Montgomery,229363,2071.762,32.203651,-86.203831
01103,Morgan,119490,1551.541,34.454484,-86.846402
01105,Perry,10591,1874.839,32.639005,-87.293827
01107,Pickens,19746,2305.415,33.296809,-88.096878
01109,Pike,32899,1743.078,31.798726,-85.941997
01111,Randolph,22913,1512.902,33.296475,-85.464068
01113,Russell,52947,1676.219,32.289811,-85.18698
01115,St. Clair,83593,1692.919,33.712963,-86.315663
01117,Shelby,195085,2096.661,33.262937,-86.678104
01119,Sumter,13763,2365.494,32.597481,-88.200057
01121,Talladega,82291,1969.184,33.369277,-86.175805
01123,Tallapoosa,41616,1984.589,32.863369,-85.799553
01125,Tuscaloosa,194656,3499.725,33.290202,-87.52286
01127,Walker,67023,2085.441,33.791571,-87.301092
01129,Washington,17581,2819.373,31.406974,-88.202078
01131,Wilcox,11670,2350.185,31.99033,-87.302205
01133,Winston,24484,1636.531,34.155888,-87.364147
02013,Aleutians East,3141,38875.358,55.243722,-161.950749
02016,Aleutians West [4],5561,36561.406,51.959447,-178.338813
02020,Anchorage,291826,5078.97,61.177549,-149.274354
02050,Bethel [4],17013,117855.346,60.928916,-160.15335
02060,Bristol Bay,997,2298.777,58.731373,-156.986612
02068,Denali,1826,33092.069,63.682732,-150.026719
02070,Dillingham [4],4847,54170.136,59.824816,-158.602233
02090,Fairbanks North Star,97581,19279.063,64.690832,-146.599867
02100,Haines,2508,7059.022,59.099905,-135.578102
