FIPS,County,NEAREST_1,NEAREST_2,NEAREST_3,NEAREST_4,NEAREST_5,NEAREST_6,NEAREST_7,NEAREST_8,NEAREST_9,NEAREST_10,NEAREST_11,NEAREST_12,NEAREST_13,NEAREST_14,NEAREST_15,NEAREST_16,NEAREST_17,NEAREST_18,NEAREST_19,NEAREST_20
1001,Autauga,1001,46049,29053,28015,17167,27163,18093,49041,27051,20131,12011,28097,54097,20051,27123,22061,13237,38001,35035,18101
1003,Baldwin,1003,39171,31037,5037,48241,47107,51173,19109,38053,48123,21221,40027,6093,4001,21047,42023,36065,48435,40125,19163
1005,Barbour,1005,16087,51015,29147,42011,40089,55011,12057,45047,39083,38059,31085,27159,48153,26013,21211,26165,50007,48193,45065
1007,Bibb,1007,41059,41027,27059,24027,18119,54033,29177,41051,17117,13303,27145,6115,41067,17135,48063,20087,39163,45005,54017
1009,Blount,1009,13315,42125,21205,18023,41031,45085,23017,34025,49049,48487,31061,5039,27017,8013,28129,48479,45061,27173,35023
1011,Bullock,1011,17039,20159,56011,29087,28017,22021,18019,39089,51091,42071,13181,29151,26055,48143,4012,13317,18043,49055,50013
1013,Butler,1013,18123,56005,26101,13157,8095,42099,22069,54025,31131,13011,42067,20145,48279,20047,8027,40005,12086,31097,48083
1015,Calhoun,1015,35029,20059,53069,29103,24009,13309,4007,13209,48227,21019,48077,20203,18095,5025,18057,26001,55115,31181,53003
1017,Chambers,1017,13163,39009,29007,20193,13033,26029,29047,18005,30011,29165,55107,4009,27121,28159,48067,20181,17023,20179,55005
1019,Cherokee,1019,45067,48073,54099,42129,8091,48249,30059,13161,55135,48173,17081,18053,23011,27127,28023,55031,20003,29045,18095
1021,Chilton,1021,48231,30075,46045,32033,29195,22027,8093,20149,28051,39027,18105,45029,29089,28007,20085,48445,55085,54001,55099
1023,Choctaw,1023,13233,13267,24045,38073,31169,8087,18135,48355,49001,45051,46117,49013,29013,2100,13109,40067,5041,18075,48081
1025,Clarke,1025,39107,40019,38017,18129,42013,48419,31151,13179,13015,27103,5107,54005,13057,13183,27013,23013,56019,18163,20069
1027,Clay,1027,17051,55067,13167,18145,24003,39079,48033,28099,29137,55013,48237,18081,48499,48047,54077,24023,4027,20199,20045
1029,Cleburne,1029,20121,18065,8001,30025,16059,32015,39087,5043,55115,28075,55078,20203,42111,41069,48227,29111,48077,27129,26097
1031,Coffee,1031,21093,48437,31135,39033,48333,17203,46073,8055,53037,27109,42097,28145,29169,6035,51023,26085,20151,40127,42093
1033,Colbert,1033,49037,21137,45087,42089,51049,13201,39153,21079,6081,51029,35061,5127,46033,28005,17091,19175,55063,29179,48389
1035,Conecuh,1035,27147,48369,21059,17095,40029,13187,8003,29167,54089,30061,28137,42087,27107,27027,37133,54063,13139,29085,21091
1037,Coosa,1037,39141,4021,13009,27025,27121,27149,18013,18005,12099,13169,6057,55095,20181,30011,8063,29007,30031,26029,13207
1039,Covington,1039,42119,27087,16065,51045,28093,46015,26131,21085,27099,39175,13257,13241,29105,51161,31049,22079,39147,48411,17175
1041,Crenshaw,1041,17179,39101,16043,48049,28071,8081,13195,21163,27005,22043,13119,42043,27049,29029,20185,31127,49017,36031,8027
1043,Cullman,1043,27081,21011,18157,48135,55141,6037,13081,5019,34023,54029,28127,31137,32027,35023,48479,51033,29171,54009,12061
1045,Dale,1045,38065,12101,48109,30063,46111,39139,50001,48045,27169,27057,42107,6083,4023,19145,26061,51163,56039,20095,21179
1047,Dallas,1047,42055,48079,13247,17017,18027,48181,2068,45013,28083,54007,39023,27053,13217,55051,32021,29159,48441,20117,45053
1049,DeKalb,1049,51133,17199,27033,41013,42005,51103,18169,20001,8111,49043,19177,48383,23001,21159,45033,40033,21115,31079,13069
1051,Elmore,1051,39129,28019,26089,27041,20167,48119,18071,30111,8119,53039,22061,8045,54083,6091,13141,17021,29019,13301,55109
1053,Escambia,1053,13291,32007,27047,31155,36041,16051,27031,48057,53033,42035,39137,31033,27107,21149,40123,29077,51071,20025,21177
1055,Etowah,1055,49051,18159,13271,6009,45041,56003,24037,53049,28061,48485,48131,20003,38045,21043,26069,18067,31181,55135,5025
1057,Fayette,1057,6055,42101,39059,38029,29061,46019,51113,28149,21081,48269,46057,26039,13197,5081,12055,50019,51139,30087,2060
1059,Franklin,1059,17075,42095,38015,48309,13037,28037,5113,19159,21113,51065,6111,29221,45071,46079,48191,30077,26035,21167,8089
1061,Geneva,1061,40077,27045,45077,51019,21099,39077,26123,22009,31101,42037,37031,28139,25019,29215,19137,27029,48281,35006,48011
1063,Greene,1063,12071,41049,18047,10001,39017,48315,46091,48261,54057,55075,27141,39105,29163,46129,13165,20027,23019,49027,20209
1065,Hale,1065,54105,48121,29107,32019,17033,45049,48151,54065,54003,13255,13251,34009,39017,18153,28151,53011,48253,23019,12051
1067,Henry,1067,19173,51125,21229,32031,45059,22029,6075,26133,16075,48099,41039,28001,28057,29065,39005,50023,46097,42025,17053
1069,Houston,1069,46061,19003,21217,40079,27055,26107,16027,21155,42079,28003,8071,29065,50027,45083,12119,17063,51011,28117,28141
1071,Jackson,1071,5119,23005,30021,51073,48311,13003,20133,35019,46071,21071,48225,51119,40031,20187,55047,17181,26063,28111,28035
1073,Jefferson,1073,51153,38051,30043,54051,34029,29115,13153,27073,20147,48003,21161,8047,8017,5099,17119,12111,45075,8019,13225
1075,Lamar,1075,12049,55035,21187,17019,50019,45037,20113,53005,21103,26079,29071,5081,16003,13259,39119,29075,8025,41047,51165
1077,Lauderdale,1077,55123,48087,46033,12095,26111,5127,36073,28005,42103,48323,38083,19121,39133,29179,6081,51049,39153,21137,45091
1079,Lawrence,1079,51075,5097,46101,30049,29187,6001,31047,28085,21151,13095,48475,20015,16015,4025,45039,55081,18111,51145,48293
1081,Lee,1081,29021,17139,13245,29139,24015,39127,55037,28087,18077,48215,12115,41071,10003,29027,39115,20153,18079,29049,27153
1083,Limestone,1083,28147,13071,51041,19117,49011,39099,45057,40055,34031,26017,21189,27133,18073,33003,20049,29017,48395,35057,21109
1085,Lowndes,1085,4019,29141,13219,28043,8043,42041,54101,17129,38041,26053,27037,20165,8125,31133,17125,18117,13059,13297,18037
1087,Macon,1087,18143,20053,55033,54071,41053,46115,48387,48107,17115,28025,20043,30081,13189,39045,22083,22073,27153,35015,4012
1089,Madison,1089,19135,13075,42073,21025,48289,29031,49029,36087,56017,34003,6099,28091,51127,48283,18131,32017,51036,8083,45025
