,State,GROC16,GROCPTH16,SUPERC16,SUPERCPTH16,CONVS16,CONVSPTH16,SPECS16,SPECSPTH16,WICS16,WICSPTH16,FFR16,FFRPTH16,FSR16,FSRPTH16,SNAP_PART_RATE16,SNAP_OAPP16,SNAP_CAP16,SNAP_BBCE16,SNAP_REPORTSIMPLE16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFAC16,RECFACPTH16
0,AL,33.573329537313874,0.15573128502080827,6.316263647940437,0.02613164361170092,146.57005084541944,0.6659579765070668,12.55132345066391,0.04259675887591168,28.687318656990243,0.14635916254832324,203.35880729616866,0.7864413375206781,136.39183266543262,0.5804499645275745,86.89799999999998,1.0,0.0,1.0,1.0,18.41186054656281,131170.46302370183,32.91087573564322,3.3097590470814473,22.04804280594358,0.07757688931518383
1,AK,19.878366131538062,0.4853575611572885,6.049108298808907,0.029721607249590023,26.142863693250476,0.20594554701264994,9.885378905575696,0.06407384263237151,15.242241329207753,0.4001798057200645,95.00088064258588,0.5116963097996072,117.77566675297773,0.8031182320533349,71.45400000000001,0.0,0.0,0.0,1.0,24.126328657850415,117758.00735253899,26.54076646090535,3.0656421261366504,20.390387644571035,0.10797040176898169
2,AZ,309.61788649608405,0.11377446630454706,63.071000994607694,0.021858345171502157,653.0045154728591,0.2753478664221803,142.7744860953614,0.05138254542957838,275.3787754922214,0.1046728125226021,1995.677296164454,0.6637191670746858,1650.04282111517,0.6016088472059707,73.5,1.0,1.0,1.0,1.0,15.444729450956087,152789.50238175952,28.443623128760578,2.850141824517636,244.77599945979037,0.0829440633279048
3,AR,19.66396012586903,0.16061641164736776,3.5647907811972273,0.028442641607056892,61.47982550887671,0.5058944704488623,8.607292979892389,0.04686265727986664,15.226802848953051,0.13848169628669285,102.96766563782224,0.6740883679220873,102.5687216803047,0.6744109614612627,72.327,1.0,0.0,0.0,1.0,17.392266729651126,137184.31765623283,30.749041302571204,3.595835276535765,12.4798803508549,0.07164115412094328
4,CA,728.9305567553188,0.2003613536360905,24.626968460685188,0.0075075479751278325,773.4054792140615,0.22774252409373766,284.38620250331,0.07379055563457523,440.7442480631907,0.11742749408213114,3098.03723074477,0.7632777732953474,3025.187425162514,0.7836903616981616,71.944,1.0,0.0,1.0,1.0,22.02581884492437,186226.4572351309,35.63348403979739,3.249196221421293,374.4566360276269,0.10189366048507201
5,CO,56.18036405861047,0.14431022510313937,9.198991286827587,0.021694164564596392,116.22271712590741,0.2921579405019675,28.987653135642972,0.07287981155193965,28.634138375771116,0.08081148845552345,331.4330002178338,0.7411423767885589,355.3914713817432,0.8893697396921937,78.18299999999999,1.0,0.0,1.0,1.0,10.968108613359421,145152.43509676016,19.16838851597057,1.987090751054309,58.98027818840947,0.12715460828884656
6,CT,177.04836735617718,0.23051845837828314,5.840124861890186,0.008085226476613963,240.74191083065963,0.3445662379301451,59.999800764193665,0.0796985569866554,149.4661282363244,0.19280884379430452,532.3789381206559,0.706497993910316,682.6945544634689,0.937020092110248,91.387,1.0,0.0,1.0,1.0,11.493767520051957,59062.64722378557,20.068157744211174,1.5833509306022373,125.88238353088323,0.16105437748919652
7,DE,72.76243763274113,0.18053381079465158,4.401252191282069,0.012599352290205814,131.43642121498164,0.3306416125664201,31.976372079695242,0.08080833324760013,35.307361022148804,0.09060108347514306,294.82370609007853,0.6979261964552336,329.86369277382596,0.8385587422743455,98.69100000000002,1.0,0.0,1.0,1.0,10.415044292563937,116109.78582576635,24.47103990217763,2.286339229135863,64.33544525166032,0.14586636342461462
8,DC,186.0,0.271796311,5.0,0.00730635,201.0,0.293715368,62.0,0.09059877,34.0,0.04952117428183557,877.0,1.281534217,881.0,1.287379299,96.594,0.0,0.0,1.0,1.0,12.06933879852295,243720.765625,24.94856393755214,2.149146607822386,102.0,0.14904959
9,FL,212.8421014133701,0.1741390435020854,16.30362018735644,0.017676255009296662,414.8799798274182,0.4172772071299351,94.11731338398647,0.07748818596258601,104.32003965279185,0.10145017912591145,699.5103869213265,0.619323927996106,860.3189978062027,0.7869680661674764,91.694,1.0,1.0,1.0,1.0,17.125689254896734,171765.79492148687,32.960493066706384,3.1660861463290444,115.75446061950029,0.10053813122595445
10,GA,63.763258407786765,0.17015185981578546,6.62587271536473,0.020364827294871803,163.81095314855858,0.5876691216341975,21.90539801837267,0.04701899653644941,45.506276218309054,0.14385884974785995,326.26235101185733,0.780444635857713,312.3867803655455,0.6945459196700116,86.385,0.0,0.0,1.0,1.0,19.805365698827305,144536.9227534133,28.30764470656231,2.9921870591944764,44.05076303064903,0.09162292111650291
11,HI,141.0143273778889,0.2064842340019774,7.951051918451374,0.00979982536652417,202.40210208633118,0.29465737580840695,81.52708939468737,0.09731133789872874,58.101998000337055,0.09594470612570964,691.3136155954919,0.9001517777704517,636.1965891863694,0.9008436605249543,83.514,0.0,0.0,1.0,1.0,15.32631128400438,171199.3177565739,24.55816465710077,2.6754598176059945,40.7051085179311,0.06090464120067222
